Epoch,Train Loss,Validation Loss,Accuracy
1,325348669043.30597,2.3046278257811195,10.111358574610245
2,2.317387511415516,2.319787069571824,10.356347438752785
3,2.316758720259604,2.3535452338724374,9.487750556792873
4,2.3186878616546194,2.3124290250798563,11.091314031180401
5,2.317818818846441,2.3126419218409526,10.378619153674833
6,2.319241099351935,2.325435398736458,10.378619153674833
7,2.316653438187099,2.313182011193652,11.091314031180401
8,2.3182078074048165,2.3095344165041776,10.356347438752785
9,2.3177807659938416,2.3092305532978097,10.356347438752785
10,2.3182294467966846,2.3073205370919982,10.46770601336303
11,2.318145177877474,2.3293364701321964,10.46770601336303
12,2.3187739562761487,2.3164006246790767,10.311804008908686
13,2.3184253049662225,2.313873907000993,10.334075723830734
14,2.318554270139914,2.317500492007707,10.334075723830734
15,2.318934179798176,2.313915266260982,10.378619153674833
16,2.317988443317935,2.3173331501645125,10.46770601336303
17,2.317232290431237,2.3082432695979325,9.487750556792873
18,2.318619428718558,2.312906641977113,11.091314031180401
19,2.3197638914786394,2.3243647020482507,10.378619153674833
20,2.3185725268795996,2.312042172693273,10.378619153674833
21,2.31952692920898,2.3059440210620705,10.46770601336303
22,2.3189284977249525,2.3406870721497994,10.356347438752785
23,2.32253325283173,2.3101696051736744,11.091314031180401
24,2.3156716089328038,2.3157496189307487,10.46770601336303
25,2.3177187822661702,2.314676929623207,10.311804008908686
26,2.3181146841128575,2.326265086907085,10.356347438752785
27,2.3178455152069346,2.308653694030653,11.091314031180401
28,2.316709590156637,2.309629652848023,11.091314031180401
29,2.318925965555216,2.320864086897772,10.46770601336303
30,2.316986613834939,2.3318820279688173,11.091314031180401
31,2.318930735344269,2.313010270061018,10.334075723830734
32,2.315922891342399,2.3165278714746766,10.334075723830734
33,2.315193227298478,2.3129954732609814,11.091314031180401
34,2.3182046898196624,2.3096176814354186,11.091314031180401
35,2.318373221988202,2.3083259329677053,10.378619153674833
