Epoch,Train Loss,Validation Loss,Accuracy
1,2.3012398190787517,2.300356410152123,11.108632612090119
2,2.3004241077568244,2.2999646409126364,11.108632612090119
3,2.300178224209798,2.300277167791998,11.108632612090119
4,2.300422999578197,2.3000110841730734,11.108632612090119
5,1.7302493925397944,0.6840624841496852,78.1173321436538
6,0.34634672030230695,0.19693872747502544,94.24492527325452
7,0.10591870272126451,0.11273404960153618,96.94401070711577
8,0.05436441303651305,0.09637713827224478,97.211688601383
9,0.03135517819488718,0.12074915574650225,97.32322105732769
10,0.023833079649451062,0.10915790959341239,97.59089895159491
11,0.01807059502510655,0.10608490271562626,97.92549631942896
12,0.015437145653875413,0.08468552003433487,98.19317421369618
13,0.010862290819146839,0.11669584834657426,97.03323667187152
